granule_id,area
321,347.0
322,71.0
323,37.0
324,116.0
325,273.0
326,65.0
327,24.0
328,41.0
329,199.0
330,79.0
331,55.0
332,82.0
333,88.0
334,40.0
335,146.0
336,1461.0
337,749.0
338,171.0
339,250.0
340,325.0
341,68.0
342,65.0
343,36.0
344,130.0
345,386.0
346,1007.0
347,102.0
348,459.0
349,96.0
350,40.0
351,197.0
352,642.0
353,481.0
354,49.0
355,17.0
356,112.0
357,261.0
358,359.0
359,153.0
360,856.0
361,53.0
362,102.0
363,231.0
364,353.0
365,72.0
366,658.0
367,91.0
368,309.0
369,70.0
370,273.0
371,289.0
372,380.0
373,131.0
374,32.0
375,200.0
376,258.0
377,37.0
378,218.0
379,156.0
380,26.0
381,141.0
382,50.0
383,26.0
384,364.0
385,245.0
386,17.0
387,170.0
388,149.0
389,131.0
390,411.0
391,435.0
392,41.0
393,103.0
394,136.0
395,155.0
396,65.0
397,125.0
398,338.0
399,46.0
400,63.0
401,144.0
402,285.0
403,683.0
404,134.0
405,159.0
406,341.0
407,96.0
408,51.0
409,217.0
410,31.0
411,53.0
412,16.0
413,24.0
414,857.0
415,208.0
416,116.0
417,187.0
418,727.0
419,75.0
420,103.0
421,183.0
422,609.0
423,1002.0
424,531.0
425,90.0
426,246.0
427,290.0
428,31.0
429,987.0
430,205.0
431,96.0
432,220.0
433,61.0
434,68.0
435,378.0
436,512.0
437,218.0
438,892.0
439,99.0
440,45.0
441,47.0
442,512.0
443,716.0
444,173.0
445,85.0
446,63.0
447,74.0
448,199.0
449,95.0
450,145.0
451,10.0
452,114.0
453,480.0
454,23.0
455,299.0
456,809.0
457,37.0
458,401.0
459,141.0
460,354.0
461,106.0
462,1282.0
463,253.0
464,147.0
465,121.0
466,30.0
467,52.0
468,25.0
469,401.0
470,62.0
471,17.0
472,94.0
473,135.0
474,23.0
475,597.0
476,1614.0
477,74.0
478,230.0
479,47.0
480,409.0
481,45.0
482,10.0
483,247.0
484,454.0
485,553.0
486,275.0
487,222.0
488,67.0
489,28.0
490,123.0
491,937.0
492,55.0
493,189.0
494,113.0
495,16.0
496,255.0
497,34.0
498,376.0
499,10.0
500,549.0
501,230.0
502,82.0
503,71.0
504,69.0
505,396.0
506,99.0
507,43.0
508,44.0
509,142.0
510,705.0
511,688.0
512,41.0
513,519.0
514,122.0
515,30.0
516,573.0
517,34.0
518,49.0
519,620.0
520,103.0
521,500.0
522,48.0
523,120.0
524,56.0
525,505.0
526,160.0
527,48.0
528,45.0
529,164.0
530,47.0
531,67.0
532,302.0
533,34.0
534,48.0
535,24.0
536,43.0
537,582.0
538,136.0
539,160.0
540,34.0
541,66.0
542,282.0
543,15.0
544,751.0
545,444.0
546,23.0
547,987.0
548,23.0
549,153.0
550,49.0
551,14.0
552,97.0
553,359.0
554,290.0
555,189.0
556,26.0
557,151.0
558,48.0
559,193.0
560,40.0
561,81.0
562,109.0
563,92.0
564,176.0
565,161.0
566,288.0
567,205.0
568,52.0
569,31.0
570,77.0
571,61.0
572,17.0
573,363.0
574,252.0
575,346.0
576,109.0
577,32.0
578,13.0
579,183.0
580,66.0
581,69.0
582,58.0
583,55.0
584,678.0
585,43.0
586,31.0
587,208.0
588,24.0
589,33.0
590,52.0
591,181.0
592,48.0
593,48.0
594,234.0
595,141.0
596,210.0
597,1375.0
598,13.0
599,30.0
600,141.0
601,90.0
602,63.0
603,45.0
604,36.0
605,59.0
606,25.0
607,95.0
608,19.0
609,453.0
610,512.0
611,293.0
612,976.0
613,26.0
614,280.0
615,530.0
616,147.0
617,220.0
618,149.0
619,17.0
620,164.0
621,239.0
622,581.0
623,88.0
624,26.0
625,316.0
626,808.0
627,31.0
628,426.0
629,87.0
630,78.0
631,153.0
632,25.0
633,26.0
634,405.0
635,38.0
636,25.0
637,458.0
638,93.0
639,69.0
640,309.0
641,15.0
642,30.0
643,132.0
644,190.0
645,642.0
646,173.0
647,106.0
648,241.0
649,208.0
650,81.0
651,62.0
652,1232.0
653,41.0
654,96.0
655,164.0
656,115.0
657,571.0
658,529.0
659,175.0
660,199.0
661,271.0
662,64.0
663,941.0
664,122.0
665,12.0
666,687.0
667,1803.0
668,39.0
669,43.0
670,39.0
671,120.0
672,93.0
673,92.0
674,130.0
675,25.0
676,127.0
677,369.0
678,257.0
679,40.0
680,226.0
681,781.0
682,88.0
683,135.0
684,414.0
685,226.0
686,66.0
687,213.0
688,945.0
689,46.0
690,735.0
691,161.0
692,28.0
693,520.0
694,70.0
695,73.0
696,19.0
697,158.0
698,37.0
699,31.0
700,453.0
701,85.0
702,523.0
703,1250.0
704,61.0
705,304.0
706,153.0
707,127.0
708,154.0
709,1082.0
710,155.0
711,96.0
712,109.0
713,134.0
714,82.0
715,247.0
716,20.0
717,1018.0
718,27.0
719,110.0
720,219.0
721,140.0
722,54.0
723,72.0
724,737.0
725,994.0
726,387.0
727,169.0
728,95.0
729,53.0
730,1104.0
731,1642.0
732,341.0
733,138.0
734,1133.0
735,221.0
736,99.0
737,107.0
738,972.0
739,450.0
740,179.0
741,181.0
742,114.0
743,182.0
744,119.0
745,547.0
746,923.0
747,124.0
748,428.0
749,54.0
750,95.0
751,10.0
752,352.0
753,1019.0
754,354.0
755,264.0
756,112.0
757,295.0
758,81.0
759,434.0
760,65.0
761,110.0
762,40.0
763,1514.0
764,77.0
765,74.0
766,230.0
767,206.0
768,175.0
769,140.0
770,570.0
771,1390.0
772,18.0
773,33.0
774,200.0
775,170.0
776,118.0
777,649.0
778,535.0
779,166.0
780,10.0
781,52.0
782,246.0
783,24.0
784,25.0
785,828.0
786,184.0
787,515.0
788,33.0
789,272.0
790,394.0
791,49.0
792,86.0
793,71.0
794,39.0
795,68.0
796,19.0
797,192.0
798,19.0
799,159.0
800,24.0
801,15.0
802,131.0
803,16.0
804,20.0
805,117.0
806,46.0
807,127.0
808,317.0
809,136.0
810,378.0
811,185.0
812,327.0
813,50.0
814,678.0
815,928.0
816,117.0
817,127.0
818,148.0
819,741.0
820,343.0
821,19.0
822,18.0
823,520.0
824,182.0
825,1034.0
826,467.0
827,23.0
828,57.0
829,514.0
830,62.0
831,544.0
832,228.0
833,377.0
834,134.0
835,757.0
836,108.0
837,108.0
838,97.0
839,24.0
840,24.0
841,526.0
842,46.0
843,38.0
844,246.0
845,29.0
846,52.0
847,248.0
848,113.0
849,28.0
850,717.0
851,1699.0
852,953.0
853,1411.0
854,246.0
855,218.0
856,35.0
857,17.0
858,43.0
859,83.0
860,221.0
861,14.0
862,15.0
863,16.0
864,258.0
865,413.0
866,100.0
867,35.0
868,722.0
869,160.0
870,30.0
871,356.0
872,1344.0
873,500.0
874,46.0
875,94.0
876,441.0
877,245.0
878,63.0
879,561.0
880,294.0
881,46.0
882,28.0
883,97.0
884,343.0
885,14.0
886,156.0
887,21.0
888,247.0
889,125.0
890,43.0
891,21.0
892,74.0
893,841.0
894,419.0
895,353.0
